/net010 X,/net010 Y
0,1.808267164947908e-07
1e-12,0.03308311416879361
2e-12,-0.009612728384573532
3e-12,-0.03691964694350328
4e-12,-0.05606277166166304
5e-12,-0.07402999847323338
6.474184417544741e-12,-0.09229152025975075
7.935235234197396e-12,-0.0880222538091108
9.6446897223073e-12,-0.01128354231522354
1.091450513210302e-11,0.1201342960457789
1.226139060360605e-11,0.310062966237879
1.364689129958004e-11,0.5307009309428565
1.487927241988189e-11,0.729083534976252
1.618476707554625e-11,0.917188023718274
1.743118365214555e-11,1.042558211884507
1.853043956179519e-11,1.099602627136017
2.007472104846581e-11,1.141030710739771
2.115719032126289e-11,1.158341017068199
2.247645876846261e-11,1.172429570715092
2.438509925929126e-11,1.18489700631706
2.670040628651818e-11,1.19269514674803
2.992376720770464e-11,1.197530733644916
3.372907934443125e-11,1.199277439392019
3.713606625190439e-11,1.199795741452453
3.989852386767103e-11,1.199890196022916
4.240970946545858e-11,1.199970873875275
4.555721793528625e-11,1.199972211730264
4.817093667732728e-11,1.200003199978194
5.029813349942819e-11,1.199989677176662
5.276684909778859e-11,1.200003678210509
5.480905420410306e-11,1.199995427824403
5.7537432474928e-11,1.200000409379999
6.064307004235601e-11,1.199996845987388
6.55859559537177e-11,1.200000295449455
7.064730361014562e-11,1.19999845909369
7.86632047399126e-11,1.200000028963274
8.688337425047065e-11,1.199999242333512
9.688337425047065e-11,1.199999672702709
1.068833742504707e-10,1.19999970463023
1.168833742504707e-10,1.199999309205376
1.268833742504707e-10,1.200000074737529
1.368833742504706e-10,1.199998998018907
1.468833742504706e-10,1.200000409992637
1.568833742504706e-10,1.199998713437186
1.668833742504706e-10,1.200000720048611
1.768833742504706e-10,1.199998449861352
1.868833742504706e-10,1.200001008058213
1.968833742504706e-10,1.199998205130693
2.068833742504706e-10,1.200001275742334
2.168833742504706e-10,1.19999797790101
2.268833742504706e-10,1.200001524432847
2.368833742504706e-10,1.199997767068603
2.468833742504706e-10,1.200001755312022
2.568833742504706e-10,1.199997571635028
2.668833742504706e-10,1.200001969471719
2.768833742504706e-10,1.199997390672531
2.868833742504706e-10,1.200002167930899
2.968833742504707e-10,1.199997223312972
3.068833742504707e-10,1.200002351643243
