/net019 X,/net019 Y
0,6.710518787250909e-08
5.8590599359738e-13,0.07177070100628435
6.731949559852715e-13,0.08339536220976204
8.472758334100264e-13,0.1069433411980615
9.236379167050131e-13,0.1167252953362355
1e-12,0.1249039700545227
1.027554135562903e-12,0.1258559209809528
1.066705770234171e-12,0.1260125828761655
1.102953663215095e-12,0.1246773725655641
1.175449449176943e-12,0.1207629637437239
1.262605619528583e-12,0.1155729840779834
1.383288187829083e-12,0.1089086834507683
1.538959980448577e-12,0.1013925184567908
1.732918549958704e-12,0.09320322914673684
1.982358429102365e-12,0.08370329271493512
2.327824102182552e-12,0.07160895057416852
2.860248965691244e-12,0.05468307079917575
3.759224215830143e-12,0.03012489435874956
4.752542338473657e-12,0.008219292099765262
6.032154102287357e-12,-0.01446589730219637
7.805622854106892e-12,-0.03799115671750897
9.588025076146602e-12,-0.05383875265987493
1.101272876614364e-11,-0.06341347571598571
1.225958425718536e-11,-0.07050757932762401
1.332465820758499e-11,-0.07602405210602076
1.452852771030415e-11,-0.0819876050216492
1.582029165246076e-11,-0.08817177253136427
1.716979994671258e-11,-0.09403982496834565
1.838759624591638e-11,-0.09816953840951644
1.950997305898896e-11,-0.1008221876697635
2.06130862274167e-11,-0.1023314623486987
2.169267284258596e-11,-0.1026950120032096
2.319267997109891e-11,-0.1010608878248402
2.523924213443438e-11,-0.09390733740692056
2.787805559992228e-11,-0.07370133720195141
3.116681355954475e-11,-0.0238190756328698
3.540074920786362e-11,0.1248595863738783
3.839998311534389e-11,0.3025987005832155
4.225571008010753e-11,0.5666360882773426
4.499444261050134e-11,0.760667369354274
4.82716080916066e-11,0.9405151605856051
5.057096703757403e-11,1.005655150833116
5.303082840162801e-11,1.046903291123029
5.535342820939365e-11,1.074917429101621
5.780687234827233e-11,1.097263978655126
6.168408518158912e-11,1.12426790377462
6.572302707845176e-11,1.144041226570738
7.262472723917802e-11,1.16681492976104
7.943284393272493e-11,1.179652757605006
9.014735235265438e-11,1.190913277870537
1.008940821846372e-10,1.195642835828043
1.175099639367127e-10,1.198925353617757
1.350335911019722e-10,1.199608968693697
1.607127992284605e-10,1.200076026234495
1.927300023590756e-10,1.199918268089401
2.49063942209408e-10,1.200081624139731
3.178026763203499e-10,1.199917766040093
4.228079760409628e-10,1.200079896340449
5.743110350803668e-10,1.199919567220162
7.87775077037532e-10,1.200079346281144
1.099654400463798e-09,1.199920407724165
1.546925988314693e-09,1.200079053334373
2.190675148266302e-09,1.199920874535325
3.120408483569249e-09,1.200078830413819
4.458821772608933e-09,1.199921192426875
6.388773879036099e-09,1.200078625494658
9.171609650004702e-09,1.199921445603729
1.318312414400587e-08,1.200078425155919
1.896798367242878e-08,1.199921670886921
2.730972352481815e-08,1.200078224473875
3.730972352481816e-08,1.199921807126345
4.365486176240908e-08,1.200078080019689
5e-08,1.199921849977168
5.00005e-08,1.164746806770937
5.000075e-08,1.148066965797745
5.0000875e-08,1.140903577837999
5.0001e-08,1.136273788174564
5.00010318798666e-08,1.137410580004905
5.00010840095064e-08,1.140315448938973
5.000113119248837e-08,1.143610243365789
5.00012255584523e-08,1.148861000368681
5.000132074606471e-08,1.152826249432264
5.000145816230919e-08,1.157153844403079
5.000161566787331e-08,1.161101210354253
5.000182458297462e-08,1.165708256762863
5.000209707482901e-08,1.171301144304679
5.000250067798723e-08,1.179114823461461
5.000292190675389e-08,1.186768492396123
5.000350045254939e-08,1.196525954171807
5.000442681417676e-08,1.212669822114394
5.000557956543233e-08,1.232768888499644
5.000737975874976e-08,1.257483802855726
5.000899707430849e-08,1.276080095178608
5.001035928011004e-08,1.289423477926317
5.001160659569178e-08,1.300695760268913
5.001323921897997e-08,1.314240974040454
5.001446694117488e-08,1.32418574159726
5.001584157443867e-08,1.335276098683299
5.00170864352962e-08,1.345485901329066
5.001817591618215e-08,1.354219369303003
5.001959444216439e-08,1.364496177200113
5.002083670426052e-08,1.371344934942635
5.002226897895897e-08,1.375598212133024
5.002381269219756e-08,1.374582501402056
5.002584569933174e-08,1.362556341528735
5.002840512896358e-08,1.32436468710031
5.003091255767595e-08,1.239958616655957
5.003341031936632e-08,1.097868031810685
5.003645638775961e-08,0.8870761727776548
5.003878962735245e-08,0.7101006951836677
5.004180462353537e-08,0.4796750835235773
5.004483660070832e-08,0.2985346077178734
5.0047029112598e-08,0.2138389070090563
5.00498485853861e-08,0.1391971597873491
5.005248801562995e-08,0.09293376252473681
5.005570255877606e-08,0.05650221136879389
5.005947322077599e-08,0.03210136054547839
5.006389135971243e-08,0.01707208797861765
5.006894234340927e-08,0.009135167623467104
5.007518730055465e-08,0.004591301857473402
5.008299164527971e-08,0.00233641117896395
5.009395915349707e-08,0.00086687391352132
5.010942612156354e-08,0.0002858841321869625
5.01304156475971e-08,-1.938984365051606e-05
5.015844782600749e-08,4.01335138371391e-05
5.020101120481876e-08,-4.214543689188004e-05
5.027548068790924e-08,4.204710726354085e-05
5.040945882658878e-08,-4.246775373202994e-05
5.063563460646057e-08,4.200818454475118e-05
5.103275260115085e-08,-4.221196496589355e-05
5.172357336140655e-08,4.144051291265442e-05
5.291940490359e-08,-4.136195396877683e-05
5.500349803480507e-08,4.049453007449219e-05
5.862407383297203e-08,-4.038184356777758e-05
6.491788431297136e-08,4.053522042893836e-05
7.491788431297135e-08,-4.040689880226449e-05
8.491788431297135e-08,4.031243100051894e-05
9.245894215648568e-08,-4.020798203481079e-05
1e-07,4.025089975012979e-05
1.000005e-07,0.06217141946594971
1.0000075e-07,0.0959126643095975
1.00000875e-07,0.1130910467118631
1.00001e-07,0.1269786413189881
1.000010353971973e-07,0.1278657704431007
1.000010881570392e-07,0.1274070143343072
1.000011360259424e-07,0.1250416296775448
1.000012317637488e-07,0.1194010586141026
1.000013285753393e-07,0.1137547922530221
1.000014729211971e-07,0.1062853952435018
1.000016431030415e-07,0.0986304676796404
1.000018681551398e-07,0.08961466664790023
1.000021615432845e-07,0.07887124572929548
1.000025974105326e-07,0.06423156178137535
1.000032801865666e-07,0.04385895393027862
1.000040709486436e-07,0.02377124277988946
1.000051432008308e-07,0.001733720782098802
1.000065148388649e-07,-0.0212089609954286
1.000082499554074e-07,-0.04200215559128472
1.000099171400333e-07,-0.05584431717182396
1.000112592808766e-07,-0.06457472298579316
1.000125282505678e-07,-0.07164326274144664
1.000141711578937e-07,-0.08000737461889222
1.000153838144331e-07,-0.08587854251163497
1.000167406436198e-07,-0.09208157012464384
1.00017995213752e-07,-0.09682197897031528
1.000191162258677e-07,-0.09990990095467259
1.000206265674766e-07,-0.1022788654538176
1.000217154868761e-07,-0.1026811673225946
1.00023051329533e-07,-0.1014275570583771
1.000249774875199e-07,-0.09543495109099211
1.000273836624248e-07,-0.07913499046173081
1.000306309727402e-07,-0.03531148338713659
1.000345782447826e-07,0.08039695935804966
1.000378468350776e-07,0.2640856991639904
1.00040801684954e-07,0.4606099018167662
1.00043358987129e-07,0.6423808092074624
1.000466031310328e-07,0.8583841256387307
1.000491668896714e-07,0.9693867230446715
1.000512837769815e-07,1.018396062347267
1.000533327344574e-07,1.050474122927465
1.000553477814149e-07,1.074109205406069
1.000581756725483e-07,1.100047352887114
1.000612349552921e-07,1.121052848211612
1.00066217728043e-07,1.146102140405193
1.000712388315824e-07,1.162748612971663
1.000794606793203e-07,1.179861400901923
1.000876306249795e-07,1.188693902010271
1.001000558590239e-07,1.195580224743699
1.001128280754525e-07,1.198134596362335
1.001328653814522e-07,1.199743707317473
1.001544511280825e-07,1.199883823661021
1.001894297141648e-07,1.200077946033167
1.002309677591844e-07,1.199933297658645
1.002957990418527e-07,1.200062743440001
1.003823243334153e-07,1.1999367177554
1.005032602547666e-07,1.200061738151962
1.006752346824629e-07,1.199937949995227
1.00913828452728e-07,1.200061355305075
1.012495825396009e-07,1.199938528311403
1.017209631076163e-07,1.200061152636766
1.023814585777104e-07,1.199938854923007
1.033093030901255e-07,1.200061004292343
1.046113970652719e-07,1.199939071407111
1.064390832748771e-07,1.200060876126729
1.090053180438783e-07,1.199939235805374
1.126079831760532e-07,1.200060755907854
1.176663277317756e-07,1.199939375800507
1.247688426631771e-07,1.200060638091117
1.347417075485517e-07,1.199939504764397
1.423708537742758e-07,1.200060421922393
1.5e-07,1.199939535318183
1.500005e-07,1.16475020003647
1.5000075e-07,1.148067188565244
1.50000875e-07,1.14090435436245
1.50001e-07,1.136274233789856
1.500010319068462e-07,1.137412600777447
1.500010840667959e-07,1.140319691231848
1.500011312800184e-07,1.143616211474751
1.500012257064635e-07,1.148868494034788
1.500013209660312e-07,1.15283474629804
1.500014585091729e-07,1.157163933104847
1.500016161518016e-07,1.161112975291189
1.500018252895334e-07,1.165723681020858
1.500020981302096e-07,1.171322677015743
1.500025019328864e-07,1.179138763281915
1.500029231059898e-07,1.186789975080219
1.500035009769751e-07,1.196534753689868
1.500044271354607e-07,1.212676699715627
1.500055790616003e-07,1.232760813990171
1.500073795173131e-07,1.257481301132434
1.500089972735332e-07,1.276082218122069
1.500103600874862e-07,1.289431388078029
1.500116081646816e-07,1.300709437634009
1.500132416558083e-07,1.314261013293798
1.500144701345533e-07,1.324211555385502
1.500158455001497e-07,1.335308235321493
1.500170906282395e-07,1.345520141041658
1.500181804939961e-07,1.354255195249673
1.500196041181658e-07,1.364558490574807
1.500208462312136e-07,1.371387137808835
1.500222814456115e-07,1.375614563250495
1.500238263019763e-07,1.374544726421185
1.50025866785551e-07,1.362358421414648
1.500284316975797e-07,1.323785237328347
1.500309384493052e-07,1.238718700980373
1.500334295027629e-07,1.096631017846474
1.500365182013072e-07,0.8825533935947023
1.500388552140367e-07,0.705048411779728
1.500418922185532e-07,0.4734013525833746
1.500449045190693e-07,0.2953792362729709
1.500470917398826e-07,0.2118521848453342
1.500499786115375e-07,0.1364282920228808
1.500526048514866e-07,0.09129582420114121
1.500558469804268e-07,0.05524816081919905
1.500596079498255e-07,0.03149546972686462
1.500640473136812e-07,0.01670872252320961
1.500690934879279e-07,0.008994507370056486
1.500753815481931e-07,0.004494407777564826
1.500831890227379e-07,0.002310731121369146
1.500942480707742e-07,0.000835695861797517
1.501096503223409e-07,0.000291886398827631
1.501307922067728e-07,-2.987657005894262e-05
1.501590793150557e-07,4.89375858666076e-05
