/M0/D X,/M0/D Y
0,1.970550184603507e-12
0.024,3.740432236126559e-12
0.048,7.50928118624622e-12
0.07200000000000001,1.552595689132465e-11
0.096,3.255343428233296e-11
0.12,6.864429372501745e-11
0.144,1.448988016460459e-10
0.168,3.051500949439193e-10
0.192,6.394299265602514e-10
0.216,1.329468752699345e-09
0.24,2.73309362531257e-09
0.264,5.531417960604853e-09
0.288,1.09650335216723e-08
0.312,2.117526374891546e-08
0.336,3.963875378079535e-08
0.36,7.163811734812526e-08
0.3840000000000001,1.246495823258867e-07
0.4080000000000001,2.084937996807769e-07
0.4320000000000001,3.351882749400864e-07
0.4560000000000001,5.185929980027433e-07
0.4800000000000001,7.738982063597045e-07
0.5040000000000001,1.116825058679598e-06
0.5280000000000001,1.562427218038624e-06
0.5520000000000002,2.123594110628893e-06
0.5760000000000002,2.809475149101795e-06
0.6000000000000002,3.623929928566918e-06
0.6240000000000002,4.563955294039044e-06
0.6480000000000002,5.618353577499843e-06
0.6720000000000003,6.767969350466817e-06
0.6960000000000003,7.989026585884245e-06
0.7200000000000003,9.25830727170007e-06
0.7440000000000003,1.055668344931202e-05
0.7680000000000003,1.186976572700002e-05
0.7920000000000004,1.318702224300185e-05
0.8160000000000004,1.450069076329938e-05
0.8400000000000004,1.580494293513261e-05
0.8640000000000004,1.709531827998483e-05
0.8880000000000005,1.836834875998212e-05
0.9120000000000005,1.96213055139586e-05
0.9360000000000005,2.08520233449389e-05
0.9600000000000005,2.205877586149506e-05
0.9840000000000005,2.32401846398979e-05
1.008,2.43951518858258e-05
1.032,2.552280970277708e-05
1.056,2.662248130502e-05
1.080000000000001,2.769365093884497e-05
1.104000000000001,2.873594022067522e-05
1.128000000000001,2.974908924556871e-05
1.152000000000001,3.073294127039294e-05
1.176000000000001,3.168743009658127e-05
1.2,3.261256950844282e-05
