/M0/D (vbias=0.005) X,/M0/D (vbias=0.005) Y,/M0/D (vbias=0.0225) X,/M0/D (vbias=0.0225) Y,/M0/D (vbias=0.04) X,/M0/D (vbias=0.04) Y,/M0/D (vbias=0.0575) X,/M0/D (vbias=0.0575) Y,/M0/D (vbias=0.075) X,/M0/D (vbias=0.075) Y
0,-1.246760334311396e-17,0,-2.863672595437276e-17,0,-4.613899065070622e-17,0,-1.377938071974551e-16,0,-2.915340185808872e-16
0.024,1.139960880041762e-12,0.024,1.943463390418918e-12,0.024,3.337647187019693e-12,0.024,5.755576404694998e-12,0.024,9.946435940940709e-12
0.048,1.607071230407672e-12,0.048,2.718802560224621e-12,0.048,4.647813718785494e-12,0.048,7.993332907095749e-12,0.048,1.379206562103707e-11
0.07200000000000001,1.782520260336111e-12,0.07200000000000001,2.987745417676356e-12,0.07200000000000001,5.079015202548615e-12,0.07200000000000001,8.705965151183668e-12,0.07200000000000001,1.499249968063577e-11
0.096,1.886295971805816e-12,0.096,3.132181965562453e-12,0.096,5.294045709659753e-12,0.096,9.04345240869754e-12,0.096,1.554222480345239e-11
0.12,1.972852365951163e-12,0.12,3.246639415558942e-12,0.12,5.456960913311763e-12,0.12,9.290435168448323e-12,0.12,1.593490401830353e-11
0.144,2.054100559919231e-12,0.144,3.351791331926877e-12,0.144,5.603637628358991e-12,0.144,9.509157636971915e-12,0.144,1.62784861155934e-11
0.168,2.133334543502313e-12,0.168,3.453351960153269e-12,0.168,5.743989446167182e-12,0.168,9.716816502453412e-12,0.168,1.660279209208261e-11
0.192,2.21170274572176e-12,0.192,3.553310705097144e-12,0.192,5.88146503193435e-12,0.192,9.919391374821406e-12,0.192,1.691818869640209e-11
0.216,2.289681859209362e-12,0.216,3.652490640635642e-12,0.216,6.017488595636016e-12,0.216,1.011934917125499e-11,0.216,1.722895037099768e-11
0.24,2.367497328769916e-12,0.24,3.751278454289409e-12,0.24,6.152726750407917e-12,0.24,1.031784214718519e-11,0.24,1.753707132981323e-11
0.264,2.445267193803383e-12,0.264,3.849874141346103e-12,0.264,6.287521861544215e-12,0.264,1.051545975754022e-11,0.264,1.784356950779646e-11
0.288,2.523058674331562e-12,0.288,3.94838922395443e-12,0.288,6.422062499814981e-12,0.288,1.07125243853504e-11,0.288,1.814899943210316e-11
0.312,2.600912995810692e-12,0.312,4.046889833128538e-12,0.312,6.556458200208178e-12,0.312,1.090922103720135e-11,0.312,1.845367714023879e-11
0.336,2.678857271073156e-12,0.336,4.145417321658896e-12,0.336,6.690775223491525e-12,0.336,1.110565937709311e-11,0.336,1.875778775203281e-11
0.36,2.756910607679174e-12,0.36,4.243998851772195e-12,0.36,6.825054917622236e-12,0.36,1.130190557000454e-11,0.36,1.90614406820669e-11
0.3840000000000001,2.835087440686499e-12,0.3840000000000001,4.34265316539534e-12,0.3840000000000001,6.959323717486965e-12,0.3840000000000001,1.149799961707676e-11,0.3840000000000001,1.936469968963401e-11
0.4080000000000001,2.913399447563779e-12,0.4080000000000001,4.441393892194127e-12,0.4080000000000001,7.093598870469831e-12,0.4080000000000001,1.169396527422864e-11,0.4080000000000001,1.966760006544304e-11
0.4320000000000001,2.991856699954748e-12,0.4320000000000001,4.540231531880567e-12,0.4320000000000001,7.227891860222155e-12,0.4320000000000001,1.188981597624596e-11,0.4320000000000001,1.997015888985672e-11
0.4560000000000001,3.07046838612639e-12,0.4560000000000001,4.639174690244794e-12,0.4560000000000001,7.362210534272741e-12,0.4560000000000001,1.208555851109106e-11,0.4560000000000001,2.027238138845677e-11
0.4800000000000001,3.149243282590521e-12,0.4800000000000001,4.738230878707077e-12,0.4800000000000001,7.496560473071209e-12,0.4800000000000001,1.228119537708674e-11,0.4800000000000001,2.057426500238923e-11
0.5040000000000001,3.228190074350962e-12,0.5040000000000001,4.837407049967943e-12,0.5040000000000001,7.63094589992083e-12,0.5040000000000001,1.247672634248275e-11,0.5040000000000001,2.087580207438927e-11
0.5280000000000001,3.307317581241677e-12,0.5280000000000001,4.936709969440082e-12,0.5280000000000001,7.765370304749494e-12,0.5280000000000001,1.267214950739671e-11,0.5280000000000001,2.11769816706878e-11
0.5520000000000002,3.386634924651477e-12,0.5520000000000002,5.036146481936639e-12,0.5520000000000002,7.899836884854015e-12,0.5520000000000002,1.286746204701067e-11,0.5520000000000002,2.14777908489637e-11
0.5760000000000002,3.466151655712188e-12,0.5760000000000002,5.135723710117292e-12,0.5760000000000002,8.034348865904598e-12,0.5760000000000002,1.306266074574079e-11,0.5760000000000002,2.177821556255558e-11
0.6000000000000002,3.545877858251303e-12,0.6000000000000002,5.235449207707256e-12,0.6000000000000002,8.168909743073054e-12,0.6000000000000002,1.325774239147447e-11,0.6000000000000002,2.207824132066733e-11
0.6240000000000002,3.625824235113196e-12,0.6240000000000002,5.335331082344642e-12,0.6240000000000002,8.303523467979921e-12,0.6240000000000002,1.345270407437784e-11,0.6240000000000002,2.237785368169712e-11
0.6480000000000002,3.70600218355727e-12,0.6480000000000002,5.435378097866782e-12,0.6480000000000002,8.43819459840645e-12,0.6480000000000002,1.364754341958268e-11,0.6480000000000002,2.267703863040295e-11
0.6720000000000003,3.786423863595658e-12,0.6720000000000003,5.535599762660308e-12,0.6720000000000003,8.572928422171529e-12,0.6720000000000003,1.384225877344268e-11,0.6720000000000003,2.297578287300226e-11
0.6960000000000003,3.867102261963933e-12,0.6960000000000003,5.636006408636852e-12,0.6960000000000003,8.707731063000149e-12,0.6960000000000003,1.403684935685329e-11,0.6960000000000003,2.327407407347767e-11
0.7200000000000003,3.948051253640143e-12,0.7200000000000003,5.73660926405685e-12,0.7200000000000003,8.842609573869386e-12,0.7200000000000003,1.423131539504144e-11,0.7200000000000003,2.357190104733309e-11
0.7440000000000003,4.029285662366427e-12,0.7440000000000003,5.837420522536433e-12,0.7440000000000003,8.977572021756988e-12,0.7440000000000003,1.442565823053517e-11,0.7440000000000003,2.386925392432432e-11
0.7680000000000003,4.110821321486543e-12,0.7680000000000003,5.938453410039923e-12,0.7680000000000003,9.112627566687732e-12,0.7680000000000003,1.461988042419286e-11,0.7680000000000003,2.416612428851002e-11
0.7920000000000004,4.192675136996788e-12,0.7920000000000004,6.039722251568149e-12,0.7920000000000004,9.247786537374429e-12,0.7920000000000004,1.481398584795e-11,0.7920000000000004,2.446250530179412e-11
0.8160000000000004,4.274865157194215e-12,0.8160000000000004,6.141242540154968e-12,0.8160000000000004,9.38306050571566e-12,0.8160000000000004,1.500797977227155e-11,0.8160000000000004,2.475839181572016e-11
0.8400000000000004,4.357410660436025e-12,0.8400000000000004,6.243031014222241e-12,0.8400000000000004,9.518462363783159e-12,0.8400000000000004,1.520186895138773e-11,0.8400000000000004,2.505378047547308e-11
0.8640000000000004,4.440332289561947e-12,0.8640000000000004,6.34510575870906e-12,0.8640000000000004,9.654006411571251e-12,0.8640000000000004,1.539566171134387e-11,0.8640000000000004,2.534866982035858e-11
0.8880000000000005,4.523652297068448e-12,0.8880000000000005,6.44748636688357e-12,0.8880000000000005,9.789708475946332e-12,0.8880000000000005,1.558936805212414e-11,0.8880000000000005,2.564306038773137e-11
0.9120000000000005,4.607395031170851e-12,0.9120000000000005,6.550194243016998e-12,0.9120000000000005,9.925586108004177e-12,0.9120000000000005,1.578299979064987e-11,0.9120000000000005,2.593695483558934e-11
0.9360000000000005,4.691587903719795e-12,0.9360000000000005,6.653253204004326e-12,0.9360000000000005,1.006165895817777e-11,0.9360000000000005,1.597657080444463e-11,0.9360000000000005,2.623035811863397e-11
0.9600000000000005,4.776263250742881e-12,0.9600000000000005,6.756690665070579e-12,0.9600000000000005,1.019794951944254e-11,0.9600000000000005,1.617009749791217e-11,0.9600000000000005,2.652327779283034e-11
0.9840000000000005,4.861461735688166e-12,0.9840000000000005,6.860539884355473e-12,0.9840000000000005,1.033448457338907e-11,0.9840000000000005,1.636359971853079e-11,0.9840000000000005,2.681572459683139e-11
1.008,4.947238257694121e-12,1.008,6.964844002061077e-12,1.008,1.047129788404857e-11,1.008,1.655710251301103e-11,1.008,2.710771357955492e-11
1.032,5.033671705736043e-12,1.032,7.069662942585363e-12,1.032,1.060843496672982e-11,1.032,1.675063934454064e-11,1.032,2.739926622510128e-11
1.056,5.120880326484286e-12,1.056,7.175084642578646e-12,1.056,1.074596111123253e-11,1.056,1.694425769564881e-11,1.056,2.769041427845054e-11
1.080000000000001,5.209044920820579e-12,1.080000000000001,7.281242503035429e-12,1.080000000000001,1.088397424719782e-11,1.080000000000001,1.713802835127631e-11,1.080000000000001,2.798120629907818e-11
1.104000000000001,5.298442515137874e-12,1.104000000000001,7.388341408381494e-12,1.104000000000001,1.102262467977948e-11,1.104000000000001,1.733206007661217e-11,1.104000000000001,2.827171835605711e-11
1.128000000000001,5.389493529019346e-12,1.128000000000001,7.49669507256329e-12,1.128000000000001,1.11621441630225e-11,1.128000000000001,1.752652184681008e-11,1.128000000000001,2.856207070702434e-11
1.152000000000001,5.482825741888633e-12,1.152000000000001,7.606777821599949e-12,1.152000000000001,1.130288717773855e-11,1.152000000000001,1.772167521578651e-11,1.152000000000001,2.885245274501824e-11
1.176000000000001,5.579358514417116e-12,1.176000000000001,7.719294166557172e-12,1.176000000000001,1.144538760104804e-11,1.176000000000001,1.791791978976222e-11,1.176000000000001,2.91431589146274e-11
1.2,5.680410721632949e-12,1.2,7.835269629778669e-12,1.2,1.159043416041491e-11,1.2,1.811585505956597e-11,1.2,2.943463865320866e-11
