/M0/D X,/M0/D Y
0,4.520769914011544e-12
0.024,7.159898246739586e-12
0.048,1.279028118244353e-11
0.07200000000000001,2.477377522360291e-11
0.096,5.02245046434252e-11
0.12,1.041375772470525e-10
0.144,2.179247570836782e-10
0.168,4.566427349611661e-10
0.192,9.533105225648965e-10
0.216,1.974626064315834e-09
0.24,4.040579408013192e-09
0.264,8.127198345074919e-09
0.288,1.597827979408824e-08
0.312,3.052781853011704e-08
0.336,5.638794464852238e-08
0.36,1.00300598282025e-07
0.3840000000000001,1.714096083856805e-07
0.4080000000000001,2.812440338033638e-07
0.4320000000000001,4.43454477066149e-07
0.4560000000000001,6.734329070638239e-07
0.4800000000000001,9.87792067530123e-07
0.5040000000000001,1.403532026256708e-06
0.5280000000000001,1.936864216733973e-06
0.5520000000000002,2.601938640434066e-06
0.5760000000000002,3.409831429146784e-06
0.6000000000000002,4.368034086195562e-06
0.6240000000000002,5.480473752281569e-06
0.6480000000000002,6.747929633632372e-06
0.6720000000000003,8.168652314373419e-06
0.6960000000000003,9.739019022386915e-06
0.7200000000000003,1.145411981174667e-05
0.7440000000000003,1.330822886943419e-05
0.7680000000000003,1.529515550774247e-05
0.7920000000000004,1.740849027773145e-05
0.8160000000000004,1.964176876865395e-05
0.8400000000000004,2.198857519694767e-05
0.8640000000000004,2.444260421955932e-05
0.8880000000000005,2.699769501522988e-05
0.9120000000000005,2.96478477082244e-05
0.9360000000000005,3.238722904089261e-05
0.9600000000000005,3.52101718464941e-05
0.9840000000000005,3.811117120323672e-05
1.008,4.108487900555443e-05
1.032,4.412609792567872e-05
1.056,4.722977524288457e-05
1.080000000000001,5.039099670385759e-05
1.104000000000001,5.360498038105081e-05
1.128000000000001,5.686707037706726e-05
1.152000000000001,6.01727301459959e-05
1.176000000000001,6.351753514815364e-05
1.2,6.689716450553107e-05
