dB20(VF("/net16")) X,dB20(VF("/net16")) Y
1,26.3022587016765
1.023292992280754,26.3022587019712
1.047128548050899,26.30225870227954
1.071519305237606,26.30225870260215
1.096478196143185,26.30225870293965
1.122018454301963,26.30225870329274
1.148153621496882,26.30225870366212
1.174897554939529,26.3022587040485
1.202264434617413,26.30225870445268
1.230268770812381,26.30225870487542
1.258925411794167,26.30225870531758
1.288249551693134,26.30225870578002
1.318256738556407,26.30225870626363
1.348962882591653,26.30225870676936
1.380384264602885,26.30225870729819
1.412537544622754,26.30225870785114
1.445439770745927,26.30225870842927
1.479108388168207,26.30225870903368
1.513561248436208,26.30225870966553
1.548816618912481,26.30225871032599
1.584893192461113,26.30225871101632
1.621810097358929,26.3022587117378
1.65958690743756,26.30225871249178
1.698243652461743,26.30225871327965
1.737800828749374,26.30225871410285
1.778279410038922,26.30225871496287
1.819700858609982,26.30225871586127
1.862087136662866,26.30225871679967
1.905460717963246,26.30225871777972
1.949844599758044,26.30225871880316
1.995262314968878,26.30225871987178
2.041737944669527,26.30225872098741
2.089296130854037,26.30225872215198
2.13796208950223,26.30225872336744
2.18776162394955,26.30225872463586
2.238721138568337,26.30225872595932
2.29086765276777,26.30225872733998
2.344228815319919,26.30225872878009
2.398832919019488,26.30225873028192
2.454708915685027,26.30225873184786
2.511886431509577,26.30225873348031
2.57039578276886,26.30225873518176
2.630267991895378,26.30225873695477
2.691534803926912,26.30225873880194
2.754228703338163,26.30225874072593
2.81838293126445,26.30225874272948
2.884031503126602,26.30225874481537
2.951209226666381,26.30225874698642
3.019951720402012,26.30225874924552
3.090295432513586,26.30225875159558
3.162277660168374,26.30225875403957
3.235936569296277,26.30225875658049
3.311311214825905,26.30225875922136
3.38844156139202,26.30225876196522
3.46736850452531,26.30225876481515
3.548133892335748,26.30225876777421
3.630780547701007,26.30225877084546
3.715352290971718,26.30225877403198
3.801893963205605,26.3022587773368
3.890451449942799,26.30225878076294
3.981071705534965,26.30225878431335
4.073802778041119,26.30225878799095
4.168693834703346,26.30225879179861
4.265795188015918,26.30225879573907
4.365158322401651,26.30225879981501
4.466835921509622,26.302258804029
4.570881896148741,26.30225880838347
4.677351412871972,26.30225881288072
4.786300923226373,26.30225881752288
4.897788193684452,26.30225882231189
5.011872336272712,26.30225882724954
5.128613839913638,26.30225883233735
5.248074602497715,26.30225883757666
5.370317963702516,26.30225884296851
5.495408738576233,26.30225884851371
5.623413251903478,26.30225885421275
5.754399373371556,26.30225886006584
5.888436553555876,26.30225886607284
6.025595860743564,26.3022588722333
6.165950018614807,26.30225887854637
6.309573444801917,26.30225888501088
6.456542290346539,26.30225889162521
6.606934480075944,26.30225889838741
6.760829753919801,26.30225890529506
6.918309709189348,26.30225891234535
7.079457843841362,26.30225891953505
7.244359600749883,26.30225892686048
7.413102413009157,26.30225893431754
7.585775750291819,26.30225894190169
7.762471166286898,26.30225894960796
7.943282347242794,26.30225895743098
8.128305161640972,26.30225896536492
8.317637711026689,26.30225897340358
8.511380382023743,26.30225898154036
8.709635899560784,26.30225898976829
8.912509381337431,26.30225899808004
9.120108393559072,26.30225900646796
9.332543007969884,26.30225901492409
9.549925860214332,26.3022590234402
9.772372209558078,26.30225903200781
9.99999999999997,26.30225904061822
10.23292992280751,26.30225904926257
10.47128548050896,26.30225905793186
10.71519305237603,26.30225906661694
10.96478196143182,26.30225907530867
11.2201845430196,26.3022590839978
11.48153621496879,26.30225909267515
11.74897554939526,26.30225910133156
12.02264434617409,26.30225910995798
12.30268770812378,26.30225911854546
12.58925411794163,26.30225912708525
12.8824955169313,26.30225913556874
13.18256738556403,26.30225914398761
13.48962882591649,26.30225915233376
13.8038426460288,26.30225916059942
14.12537544622749,26.30225916877711
14.45439770745922,26.30225917685968
14.79108388168202,26.30225918484039
15.13561248436203,26.30225919271285
15.48816618912476,26.30225920047107
15.84893192461108,26.30225920810949
16.21810097358924,26.30225921562293
16.59586907437554,26.30225922300668
16.98243652461738,26.30225923025645
17.37800828749369,26.30225923736838
17.78279410038916,26.30225924433903
18.19700858609976,26.30225925116541
18.6208713666286,26.30225925784493
19.0546071796324,26.30225926437544
19.49844599758038,26.30225927075517
19.95262314968872,26.30225927698276
20.41737944669521,26.30225928305721
20.89296130854031,26.30225928897791
21.37962089502224,26.30225929474458
21.87761623949544,26.30225930035727
22.38721138568331,26.30225930581636
22.90867652767764,26.30225931112252
23.44228815319913,26.30225931627669
23.98832919019481,26.30225932128008
24.5470891568502,26.30225932613414
25.1188643150957,26.30225933084053
25.70395782768853,26.30225933540114
26.30267991895371,26.30225933981801
26.91534803926904,26.30225934409337
27.54228703338154,26.30225934822959
28.18382931264442,26.3022593522292
28.84031503126593,26.3022593560948
29.51209226666373,26.30225935982914
30.19951720402003,26.30225936343501
30.90295432513577,26.30225936691532
31.62277660168365,26.302259370273
32.35936569296268,26.30225937351106
33.11311214825896,26.30225937663251
33.8844156139201,26.30225937964041
34.67368504525301,26.30225938253784
35.48133892335738,26.30225938532785
36.30780547700997,26.30225938801352
37.15352290971708,26.3022593905979
38.01893963205595,26.30225939308402
38.90451449942788,26.3022593954749
39.81071705534954,26.30225939777352
40.73802778041109,26.30225939998281
41.68693834703335,26.30225940210567
42.65795188015907,26.30225940414496
43.65158322401639,26.30225940610348
44.6683592150961,26.30225940798396
45.70881896148729,26.30225940978913
46.7735141287196,26.30225941152159
47.86300923226361,26.30225941318394
48.97788193684438,26.30225941477868
50.11872336272698,26.30225941630827
51.28613839913623,26.30225941777509
52.480746024977,26.30225941918146
