/net021 X,/net021 YRe,/net021 YReImag
1,398.1288574773768,-2.419233223057051e-05
1.023292992280754,398.1288575133081,-2.475921906921509e-05
1.047128548050899,398.1288575509025,-2.533954886559863e-05
1.071519305237606,398.1288575902352,-2.593365145004146e-05
1.096478196143185,398.1288576313856,-2.654186548805135e-05
1.122018454301963,398.1288576744355,-2.716453876352412e-05
1.148153621496882,398.1288577194707,-2.780202847346921e-05
1.174897554939529,398.1288577665804,-2.845470153484205e-05
1.202264434617413,398.1288578158585,-2.912293490404208e-05
1.230268770812381,398.1288578674015,-2.980711590968396e-05
1.258925411794167,398.1288579213111,-3.050764259928654e-05
1.288249551693134,398.128857977693,-3.122492410051526e-05
1.318256738556407,398.1288580366569,-3.195938099769882e-05
1.348962882591653,398.1288580983181,-3.271144572428528e-05
1.380384264602885,398.1288581627951,-3.348156297203839e-05
1.412537544622754,398.1288582302128,-3.427019011768951e-05
1.445439770745927,398.1288583007003,-3.507779766787917e-05
1.479108388168207,398.128858374392,-3.590486972319968e-05
1.513561248436208,398.1288584514284,-3.675190446218412e-05
1.548816618912481,398.1288585319546,-3.761941464613024e-05
1.584893192461113,398.1288586161222,-3.850792814565636e-05
1.621810097358929,398.1288587040883,-3.941798848989547e-05
1.65958690743756,398.1288587960163,-4.035015543929737e-05
1.698243652461743,398.128858892076,-4.13050055829863e-05
1.737800828749374,398.1288589924432,-4.228313296162657e-05
1.778279410038922,398.1288590973004,-4.328514971682803e-05
1.819700858609982,398.1288592068373,-4.431168676803316e-05
1.862087136662866,398.1288593212498,-4.536339451791249e-05
1.905460717963246,398.1288594407417,-4.644094358723022e-05
1.949844599758044,398.1288595655232,-4.75450255801706e-05
1.995262314968878,398.1288596958124,-4.8676353881077e-05
2.041737944669527,398.1288598318347,-4.983566448352147e-05
2.089296130854037,398.1288599738228,-5.102371685260577e-05
2.13796208950223,398.1288601220175,-5.224129482132236e-05
2.18776162394955,398.1288602766671,-5.348920752176841e-05
2.238721138568337,398.1288604380277,-5.476829035190115e-05
2.29086765276777,398.1288606063634,-5.607940597846438e-05
2.344228815319919,398.1288607819462,-5.742344537658573e-05
2.398832919019488,398.1288609650559,-5.880132890643226e-05
2.454708915685027,398.1288611559801,-6.021400742719226e-05
2.511886431509577,398.1288613550145,-6.166246344842067e-05
2.57039578276886,398.1288615624619,-6.31477123186872e-05
2.630267991895378,398.1288617786332,-6.467080345119855e-05
2.691534803926912,398.1288620038465,-6.623282158584252e-05
2.754228703338163,398.1288622384272,-6.783488808688145e-05
2.81838293126445,398.1288624827075,-6.947816227514168e-05
2.884031503126602,398.1288627370265,-7.11638427933731e-05
2.951209226666381,398.1288630017293,-7.289316900294332e-05
3.019951720402012,398.1288632771665,-7.466742240981049e-05
3.090295432513586,398.1288635636947,-7.648792811716079e-05
3.162277660168374,398.1288638616752,-7.835605630182146e-05
3.235936569296277,398.1288641714731,-8.027322371095655e-05
3.311311214825905,398.1288644934575,-8.224089517513112e-05
3.38844156139202,398.1288648279996,-8.426058513330522e-05
3.46736850452531,398.1288651754728,-8.633385916474875e-05
3.548133892335748,398.1288655362517,-8.846233552233575e-05
3.630780547701007,398.1288659107107,-9.064768666108623e-05
3.715352290971718,398.1288662992226,-9.28916407552138e-05
3.801893963205605,398.1288667021583,-9.519598319637434e-05
3.890451449942799,398.1288671198848,-9.756255806521203e-05
3.981071705534965,398.1288675527641,-9.999326956770356e-05
4.073802778041119,398.1288680011513,-0.0001024900834272965
4.168693834703346,398.128868465394,-0.0001050550282231949
4.265795188015918,398.128868945829,-0.0001076901966648472
4.365158322401651,398.1288694427831,-0.0001103977467921106
4.466835921509622,398.1288699565678,-0.0001131799030903155
4.570881896148741,398.1288704874805,-0.0001160389575091127
4.677351412871972,398.128871035801,-0.0001189772703740361
4.786300923226373,398.1288716017892,-0.0001219972711793239
4.897788193684452,398.1288721856836,-0.000125101459251045
5.011872336272712,398.1288727876988,-0.0001282924042696347
5.128613839913638,398.1288734080236,-0.0001315727466413267
5.248074602497715,398.128874046818,-0.0001349451977088826
5.370317963702516,398.1288747042119,-0.000138412539792438
5.495408738576233,398.1288753803019,-0.0001419776260527685
5.623413251903478,398.128876075149,-0.0001456433801701856
5.754399373371556,398.1288767887779,-0.0001494127958341574
5.888436553555876,398.1288775211732,-0.0001532889360399264
6.025595860743564,398.1288782722771,-0.0001572749321911178
6.165950018614807,398.1288790419895,-0.000161373983008754
6.309573444801917,398.1288798301641,-0.0001655893532501444
6.456542290346539,398.1288806366073,-0.0001699243722431992
6.606934480075944,398.1288814610773,-0.0001743824322448539
6.760829753919801,398.128882303282,-0.0001789669866349759
6.918309709189348,398.1288831628777,-0.0001836815479601481
7.079457843841362,398.1288840394702,-0.0001885296858448852
7.244359600749883,398.1288849326115,-0.0001935150247906172
7.413102413009157,398.1288858418012,-0.0001986412418862195
7.585775750291819,398.1288867664865,-0.0002039120644560315
7.762471166286898,398.1288877060614,-0.0002093312676749307
7.943282347242794,398.1288886598689,-0.0002149026721815847
8.128305161640972,398.1288896272013,-0.0002206301417239002
8.317637711026689,398.1288906073011,-0.0002265175808717842
8.511380382023743,398.1288915993638,-0.0002325689328346354
8.709635899560784,398.1288926025393,-0.0002387881774206584
8.912509381337431,398.1288936159343,-0.0002451793291769279
9.120108393559072,398.1288946386161,-0.0002517464357475892
9.332543007969884,398.1288956696136,-0.0002584935764876629
9.549925860214332,398.1288967079238,-0.0002654248613687453
9.772372209558078,398.1288977525126,-0.0002725444302100577
9.99999999999997,398.1288988023201,-0.0002798564522667193
