phase(VF("/net021")) X,phase(VF("/net021")) Y
1,-9.381685045793699e-06
1.023292992280754,-9.5975635756566e-06
1.047128548050899,-9.818283216444285e-06
1.071519305237606,-1.00439435879382e-05
1.096478196143185,-1.027464572094104e-05
1.122018454301963,-1.051049202876594e-05
1.148153621496882,-1.075158627410605e-05
1.174897554939529,-1.099803353094463e-05
1.202264434617413,-1.124994014114709e-05
1.230268770812381,-1.15074136653573e-05
1.258925411794167,-1.177056282780076e-05
1.288249551693134,-1.203949745457658e-05
1.318256738556407,-1.231432840500012e-05
1.348962882591653,-1.259516749553685e-05
1.380384264602885,-1.288212741584678e-05
1.412537544622754,-1.317532163643815e-05
1.445439770745927,-1.347486430740708e-05
1.479108388168207,-1.378087014771989e-05
1.513561248436208,-1.409345432447348e-05
1.548816618912481,-1.441273232154991e-05
1.584893192461113,-1.473881979706218e-05
1.621810097358929,-1.507183242897034e-05
1.65958690743756,-1.541188574823094e-05
1.698243652461743,-1.575909495882877e-05
1.737800828749374,-1.611357474402694e-05
1.778279410038922,-1.647543905816326e-05
1.819700858609982,-1.684480090331349e-05
1.862087136662866,-1.722177209014112e-05
1.905460717963246,-1.760646298225439e-05
1.949844599758044,-1.799898222339965e-05
1.995262314968878,-1.839943644683259e-05
2.041737944669527,-1.880792996622943e-05
2.089296130854037,-1.922456444752735e-05
2.13796208950223,-1.964943856111959e-05
2.18776162394955,-2.008264761387656e-05
2.238721138568337,-2.052428316052005e-05
2.29086765276777,-2.097443259394629e-05
2.344228815319919,-2.143317871417443e-05
2.398832919019488,-2.190059927569244e-05
2.454708915685027,-2.237676651308357e-05
2.511886431509577,-2.286174664494478e-05
2.57039578276886,-2.335559935625414e-05
2.630267991895378,-2.385837725951168e-05
2.691534803926912,-2.437012533516394e-05
2.754228703338163,-2.48908803520337e-05
2.81838293126445,-2.542067026870872e-05
2.884031503126602,-2.595951361710182e-05
2.951209226666381,-2.650741886967992e-05
3.019951720402012,-2.706438379216864e-05
3.090295432513586,-2.763039478387894e-05
3.162277660168374,-2.820542620816657e-05
3.235936569296277,-2.878943971592929e-05
3.311311214825905,-2.938238356546514e-05
3.38844156139202,-2.998419194246213e-05
3.46736850452531,-3.05947842843579e-05
3.548133892335748,-3.121406461380055e-05
3.630780547701007,-3.184192088645043e-05
3.715352290971718,-3.247822435888893e-05
3.801893963205605,-3.312282898293334e-05
3.890451449942799,-3.377557083319611e-05
3.981071705534965,-3.44362675752621e-05
4.073802778041119,-3.510471798238145e-05
4.168693834703346,-3.57807015090809e-05
4.265795188015918,-3.64639779305679e-05
4.365158322401651,-3.715428705723586e-05
4.466835921509622,-3.785134853395327e-05
4.570881896148741,-3.855486173412892e-05
4.677351412871972,-3.92645057587708e-05
4.786300923226373,-3.997993955088311e-05
4.897788193684452,-4.070080213556003e-05
5.011872336272712,-4.142671299601888e-05
5.128613839913638,-4.2157272595554e-05
5.248074602497715,-4.289206305497157e-05
5.370317963702516,-4.363064899446981e-05
5.495408738576233,-4.437257854814701e-05
5.623413251903478,-4.511738455833947e-05
5.754399373371556,-4.586458595580794e-05
5.888436553555876,-4.661368933039707e-05
6.025595860743564,-4.736419069518911e-05
6.165950018614807,-4.811557744536412e-05
6.309573444801917,-4.886733051097231e-05
6.456542290346539,-4.961892670063565e-05
6.606934480075944,-5.036984123084415e-05
6.760829753919801,-5.111955043302275e-05
6.918309709189348,-5.186753462795278e-05
7.079457843841362,-5.261328115446832e-05
7.244359600749883,-5.335628753666475e-05
7.413102413009157,-5.409606477119345e-05
7.585775750291819,-5.483214071363029e-05
7.762471166286898,-5.556406354045146e-05
7.943282347242794,-5.629140526087985e-05
8.128305161640972,-5.701376525084526e-05
8.317637711026689,-5.773077377957717e-05
8.511380382023743,-5.844209549798277e-05
8.709635899560784,-5.914743285699704e-05
8.912509381337431,-5.984652942357336e-05
9.120108393559072,-6.053917306194154e-05
9.332543007969884,-6.122519894822562e-05
9.549925860214332,-6.19044923874955e-05
9.772372209558078,-6.257699140383105e-05
9.99999999999997,-6.324268907599059e-05
10.23292992280751,-6.390163559377977e-05
10.47128548050896,-6.455394001317147e-05
10.71519305237603,-6.519977169159005e-05
10.96478196143182,-6.583936138848536e-05
11.2201845430196,-6.647300202031066e-05
11.48153621496879,-6.710104906322025e-05
11.74897554939526,-6.772392060112371e-05
12.02264434617409,-6.834209702110086e-05
12.30268770812378,-6.895612036250224e-05
12.58925411794163,-6.956659333025527e-05
12.8824955169313,-7.017417798688545e-05
13.18256738556403,-7.077959414146688e-05
13.48962882591649,-7.138361745708056e-05
13.8038426460288,-7.198707730131382e-05
14.12537544622749,-7.259085436684501e-05
14.45439770745922,-7.319587809118611e-05
14.79108388168202,-7.380312390617766e-05
15.13561248436203,-7.441361034884566e-05
15.48816618912476,-7.502839606573014e-05
15.84893192461108,-7.564857674280623e-05
16.21810097358924,-7.62752819926543e-05
16.59586907437554,-7.690967222964033e-05
16.98243652461738,-7.755293556257312e-05
17.37800828749369,-7.82062847326662e-05
17.78279410038916,-7.887095412269507e-05
18.19700858609976,-7.954819686106277e-05
18.6208713666286,-8.023928204212264e-05
19.0546071796324,-8.094549208160957e-05
19.49844599758038,-8.166812022345725e-05
19.95262314968872,-8.240846821167465e-05
20.41737944669521,-8.316784413836772e-05
20.89296130854031,-8.39475604764669e-05
21.37962089502224,-8.474893230328706e-05
21.87761623949544,-8.557327571874294e-05
22.38721138568331,-8.642190645988731e-05
22.90867652767764,-8.729613871145852e-05
23.44228815319913,-8.819728411032561e-05
