/net021 X,/net021 YRe,/net021 YReImag
1,368.4494080520445,-8.301477958118317e-05
1.07977516232771,368.4494070358896,-8.953716547074775e-05
1.165914401179832,368.44940585464,-9.655431999559943e-05
1.258925411794167,368.4494044821396,-0.0001040992672900136
1.359356390878526,368.4494028883226,-0.0001122060750898743
1.467799267622069,368.4494010387141,-0.0001209095613728303
1.584893192461113,368.4493988938936,-0.0001302448957383194
1.711328304161781,368.4493964089351,-0.0001402470726739991
1.847849797422291,368.4493935328373,-0.0001509502310500813
1.995262314968879,368.4493902079685,-0.0001623867919376608
2.154434690031883,368.4493863695566,-0.0001745863857357695
2.326305067153626,368.4493819452721,-0.000187574540432267
2.51188643150958,368.4493768549643,-0.0002013711067265875
2.712272579332028,368.4493710106227,-0.0002159884041433568
2.928644564625236,368.4493643166682,-0.000231429086912796
3.162277660168379,368.4493566706826,-0.0002476837512512689
3.414548873833601,368.4493479647084,-0.0002647283386933627
3.686945064519575,368.4493380872607,-0.0002825214348109273
3.981071705534972,368.4493269261927,-0.000301001619379144
4.298662347082277,368.4493143725252,-0.0003200850910945612
4.641588833612779,368.4493003253178,-0.0003396638623213769
5.011872336272723,368.4492846975708,-0.0003596048875973605
5.411695265464637,368.4492674230165,-0.0003797505391380885
5.843414133735176,368.4492484635255,-0.0003999208538778527
6.309573444801932,368.4492278166455,-0.0004199179276432823
6.812920690579613,368.4492055226229,-0.0004395327030372229
7.356422544596414,368.4491816700929,-0.0004585541781394918
7.943282347242815,368.4491563995638,-0.0004767807607564519
8.576958985908941,368.4491299038687,-0.0004940331399997583
9.261187281287935,368.44910242497,-0.0005101677018498221
10,368.4490742468718,-0.0005250892547113978
10.7977516232771,368.4490456848768,-0.0005387617318152053
11.65914401179832,368.4490170719458,-0.0005512156528160512
12.58925411794167,368.4489887433586,-0.0005625514641264105
13.59356390878526,368.4489610211563,-0.0005729383871020527
14.6779926762207,368.4489341998744,-0.000582608988003062
15.84893192461113,368.4489085348645,-0.0005918502248599478
17.11328304161781,368.4488842341021,-0.0006009921180340448
18.47849797422291,368.4488614538615,-0.0006103953697698883
19.9526231496888,368.4488402981389,-0.0006204392156070591
21.54434690031884,368.4488208213099,-0.0006315105694480166
23.26305067153626,368.4488030332384,-0.0006439951968562387
25.1188643150958,368.448786905967,-0.0006582712960322076
27.12272579332028,368.4487723811513,-0.0006747055469697802
29.28644564625236,368.4487593775386,-0.0006936514459853605
31.62277660168379,368.4487477979636,-0.0007154495890648566
34.14548873833601,368.4487375355219,-0.0007404294973265824
36.86945064519575,368.4487284787468,-0.0007689125737111811
39.81071705534972,368.4487205157459,-0.0008012158201119874
42.98662347082276,368.4487135373478,-0.0008376560082845211
46.41588833612779,368.4487074393566,-0.000878554070052688
50.11872336272722,368.4487021240604,-0.0009242395417215124
54.11695265464636,368.4486975011222,-0.0009750549580322358
58.43414133735175,368.4486934879953,-0.001031360139866376
63.09573444801932,368.4486900099792,-0.001093536357041592
68.12920690579612,368.4486870000198,-0.001161990374153139
73.56422544596413,368.4486843983329,-0.001237158405338548
79.43282347242814,368.4486821519226,-0.001319510015049084
85.76958985908939,368.4486802140354,-0.001409552008215234
92.61187281287933,368.4486785435943,-0.001507832356125034
99.99999999999997,368.448677104635,-0.001614944205102816
107.9775162327709,368.4486758657613,-0.001731530014590031
116.5914401179831,368.4486747996333,-0.001858285870140886
125.8925411794167,368.4486738824945,-0.001995966015600925
135.9356390878525,368.4486730937363,-0.002145387647629266
146.7799267622069,368.4486724155096,-0.002307436014935725
158.4893192461113,368.4486718323725,-0.002483069864235556
171.132830416178,368.4486713309778,-0.002673327275028231
184.784979742229,368.4486708997989,-0.002879331925901395
199.5262314968879,368.4486705288846,-0.003102299836146541
215.4434690031883,368.4486702096471,-0.003343546628039263
232.6305067153625,368.4486699346732,-0.003604495357170813
251.1886431509579,368.4486696975626,-0.003886684960706338
271.2272579332027,368.4486694927849,-0.004191779376378632
292.8644564625235,368.4486693155549,-0.00452157738839864
316.2277660168378,368.4486691617248,-0.004878023260274782
341.4548873833601,368.4486690276899,-0.005263218218786208
368.6945064519575,368.4486689103053,-0.005679432858060364
398.1071705534972,368.448668806814,-0.006129120537876657
429.8662347082276,368.4486687147837,-0.006614931855975521
464.1588833612778,368.448668632049,-0.00713973028031932
501.1872336272722,368.4486685585334,-0.007706609034012875
541.1695265464635,368.4486684887198,-0.008318909332488633
584.3414133735174,368.4486684228335,-0.008980240081578677
630.957344480193,368.4486683593214,-0.009694499151775105
681.292069057961,368.4486682966858,-0.01046589635506046
735.6422544596411,368.4486682334491,-0.0112989782595881
794.3282347242813,368.4486681699898,-0.01219865498873781
857.6958985908939,368.4486681010249,-0.01317022916208749
926.1187281287932,368.448668026797,-0.01421942715023226
999.9999999999998,368.4486679455541,-0.01535243282605459
1079.775162327709,368.4486678553781,-0.01657592401266509
1165.914401179832,368.4486677541404,-0.01789711184238665
1258.925411794167,368.4486676413218,-0.01932378325901057
1359.356390878525,368.4486675123432,-0.02086434691318713
1467.799267622069,368.448667362245,-0.02252788272260798
1584.893192461113,368.4486671912247,-0.02432419538879451
1711.32830416178,368.4486669952004,-0.02626387218437377
1847.849797422291,368.4486667675854,-0.02835834535351059
1995.262314968879,368.4486665010452,-0.03061995949253602
2154.434690031883,368.4486661929854,-0.0330620443084022
2326.305067153626,368.448665834173,-0.03569899318128179
2511.88643150958,368.448665416048,-0.03854634799839794
2712.272579332028,368.4486649286501,-0.04162089075597206
2928.644564625236,368.4486643641249,-0.04494074247104982
